POLineID,PO_ID,LineNumber,ItemID,ItemDescription,QuantityOrdered,UnitOfMeasure,UnitPrice,LineTotal,LineExpectedDeliveryDate,QuantityReceived,ActualDeliveryDate,LineStatus,CreatedAt,UpdatedAt
12001,9001,1,502,"A4 Printer Paper (Ream, 500 Sheets)",10,"Ream",672.0000,6720.00,"",10,"2024-03-24","Fully Received","2024-03-10 11:00:00","2024-04-05 10:00:00"
12002,9001,2,513,"Desk Stapler - Standard",5,"Each",1258.0000,6290.00,"",5,"2024-03-24","Fully Received","2024-03-10 11:00:00","2024-04-05 10:00:00"
12003,9002,1,510,"Steel Sheet (1m x 2m, 2mm thick)",2,"Each",90.2500,180.50,"2024-05-10",0,"","Ordered","2024-04-15 09:30:00","2024-04-15 09:30:00"
12004,9003,1,511,"Resistor 1k Ohm 1/4W (Pack 100)",300,"Pack",4.9500,1485.00,"",300,"2024-06-14","Fully Received","2024-05-20 14:00:00","2024-06-25 16:00:00"
12005,9003,2,512,"Capacitor 10uF 50V (Pack 50)",25,"Pack",6.6000,165.00,"",25,"2024-06-14","Fully Received","2024-05-20 14:00:00","2024-06-25 16:00:00"
12006,9004,1,503,"USB Keyboard - Standard 101 Key",10,"Each",2075.0000,20750.00,"",10,"2024-06-18","Fully Received","2024-06-01 10:15:00","2024-06-28 09:00:00"
12007,9004,2,504,"Optical USB Mouse",10,"Each",1245.0000,12450.00,"",10,"2024-06-18","Fully Received","2024-06-01 10:15:00","2024-06-28 09:00:00"
12008,9004,3,517,"Full HD Webcam",5,"Each",4250.0000,21250.00,"",5,"2024-06-19","Fully Received","2024-06-01 10:15:00","2024-06-28 09:00:00"
12009,9005,1,511,"Resistor 1k Ohm 1/4W (Pack 100)",50,"Pack",9.0000,450.00,"",50,"2024-08-02","Fully Received","2024-07-11 16:00:00","2024-08-15 11:00:00"
12010,9006,1,515,"Business Laptop 14-inch",1,"Each",825.0000,825.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12011,9006,2,516,"USB 3.0 Docking Station",1,"Each",135.0000,135.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12012,9006,3,506,"Windows Pro License",1,"License",195.0000,195.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12013,9006,4,507,"Office 365 Business Standard License",1,"License",90.0000,90.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12014,9007,1,508,"IT Consulting Services",1,"Hour",9960.0000,9960.00,"2024-09-30",1,"2024-09-28","Fully Received","2024-09-15 11:45:00","2024-10-05 10:15:00"
12015,9008,1,524,"ARM Cortex M0 Microcontroller",50,"Each",1.9000,95.00,"",25,"2024-10-27","Partially Received","2024-10-02 14:20:00","2024-10-28 16:00:00"
12016,9009,1,509,"Graphic Design Services",10,"Hour",85.0000,850.00,"2024-11-28",10,"2024-11-27","Fully Received","2024-11-10 10:00:00","2024-12-05 13:00:00"
12017,9010,1,522,"Aluminum Coil (10 KG)",10,"KG",5.2910,52.91,"",10,"2025-01-04","Fully Received","2024-12-05 15:15:00","2025-01-10 10:00:00"
12018,9010,2,523,"ABS Plastic Pellets (25 KG Bag)",1,"Bag",86.8500,86.85,"",1,"2025-01-04","Fully Received","2024-12-05 15:15:00","2025-01-10 10:00:00"
