PO_ID,PONumber,VendorID,OrderDate,ExpectedDeliveryDate,ShippingAddressLine1,ShippingAddressLine2,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,PaymentTerms,SubtotalAmount,TaxAmount,ShippingCost,TotalAmount,Currency,Status,BuyerContactPerson,Notes,CreatedAt,UpdatedAt
9001,"PO-2024-09001",1002,"2024-03-10","2024-03-25","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",13010.00,2341.80,500.00,15851.80,"INR","Fully Received","Amit Singh","","2024-03-10 11:00:00","2024-04-05 10:00:00"
9002,"PO-2024-09002",1003,"2024-04-15","2024-05-10","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 45",180.50,14.44,35.00,229.94,"USD","Sent","Sunita Rao","Expedite delivery if possible","2024-04-15 09:30:00","2024-04-15 09:30:00"
9003,"PO-2024-09003",1010,"2024-05-20","2024-06-15","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 45",1581.25,126.50,150.00,1857.75,"USD","Fully Received","Amit Singh","","2024-05-20 14:00:00","2024-06-25 16:00:00"
9004,"PO-2024-09004",1001,"2024-06-01","2024-06-20","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 60",54450.00,9801.00,600.00,64851.00,"INR","Fully Received","Sunita Rao","","2024-06-01 10:15:00","2024-06-28 09:00:00"
9005,"PO-2024-09005",1005,"2024-07-11","2024-08-05","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 60",450.00,36.00,50.00,536.00,"EUR","Invoiced","Amit Singh","","2024-07-11 16:00:00","2024-08-15 11:00:00"
9006,"PO-2024-09006",1012,"2024-08-01","2024-08-21","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",1245.00,99.60,80.00,1424.60,"USD","Closed","Sunita Rao","","2024-08-01 09:00:00","2024-09-10 14:30:00"
9007,"PO-2024-09007",1007,"2024-09-15","2024-09-30","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Due on Receipt",9960.00,1792.80,0.00,11752.80,"INR","Fully Received","Amit Singh","Urgent requirement","2024-09-15 11:45:00","2024-10-05 10:15:00"
9008,"PO-2024-09008",1008,"2024-10-02","2024-10-25","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",95.00,6.65,15.00,116.65,"USD","Partially Received","Sunita Rao","","2024-10-02 14:20:00","2024-10-28 16:00:00"
9009,"PO-2024-09009",1004,"2024-11-10","2024-11-28","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 30",850.00,68.00,0.00,918.00,"USD","Invoiced","Amit Singh","Project Alpha Graphics","2024-11-10 10:00:00","2024-12-05 13:00:00"
9010,"PO-2024-09010",1011,"2024-12-05","2025-01-05","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",269.70,18.88,45.00,333.58,"USD","Fully Received","Sunita Rao","","2024-12-05 15:15:00","2025-01-10 10:00:00"
9011,"PO-2025-09011",1001,"2025-01-15","2025-02-05","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 60",763755.00,137475.90,800.00,902030.90,"INR","Fully Received","Amit Singh","Bulk hardware order","2025-01-15 09:00:00","2025-02-10 14:00:00"
9012,"PO-2025-09012",1006,"2025-01-20","2025-02-15","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",483.00,38.64,70.00,591.64,"EUR","Sent","Sunita Rao","","2025-01-20 11:30:00","2025-01-20 11:30:00"
9013,"PO-2025-09013",1009,"2025-02-01","2025-02-25","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 60",8190.00,655.20,500.00,9345.20,"EUR","Partially Received","Amit Singh","","2025-02-01 10:45:00","2025-02-28 15:00:00"
9014,"PO-2025-09014",1002,"2025-02-10","2025-02-28","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",21675.00,3901.50,150.00,25726.50,"INR","Fully Received","Sunita Rao","","2025-02-10 14:00:00","2025-03-05 11:30:00"
9015,"PO-2025-09015",1012,"2025-03-01","2025-03-20","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",247.00,19.76,40.00,306.76,"USD","Sent","Amit Singh","","2025-03-01 09:15:00","2025-03-01 09:15:00"
9016,"PO-2025-09016",1003,"2025-03-15","2025-04-10","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 45",4940.00,395.20,250.00,5585.20,"USD","Approved","Sunita Rao","","2025-03-15 10:00:00","2025-03-16 11:00:00"
9017,"PO-2025-09017",1007,"2025-04-01","2025-04-10","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Due on Receipt",48000.00,8640.00,0.00,56640.00,"INR","Sent","Amit Singh","Onsite training session","2025-04-01 11:00:00","2025-04-01 11:00:00"
9018,"PO-2025-09018",1005,"2025-04-05","2025-04-30","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 60",288.00,23.04,45.00,356.04,"EUR","Approved","Sunita Rao","","2025-04-05 14:30:00","2025-04-05 14:30:00"
9019,"PO-2024-09019",1004,"2024-07-25","2024-08-15","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",170.00,13.60,25.00,208.60,"USD","Closed","Amit Singh","","2024-07-25 10:30:00","2024-08-20 16:00:00"
9020,"PO-2024-09020",1010,"2024-08-18","2024-09-10","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 45",128.49,10.28,20.00,158.77,"USD","Closed","Sunita Rao","Components for Project Beta","2024-08-18 13:00:00","2024-09-20 10:00:00"
9021,"PO-2024-09021",1001,"2024-02-12","2024-03-05","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 60",72250.00,12905.00,550.00,85705.00,"INR","Closed","Amit Singh","","2024-02-12 10:00:00","2024-03-15 11:00:00"
9022,"PO-2024-09022",1008,"2024-03-20","2024-04-15","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",2.08,0.15,5.00,7.23,"USD","Closed","Sunita Rao","Sample order","2024-03-20 14:00:00","2024-04-20 09:30:00"
9023,"PO-2024-09023",1011,"2024-04-25","2024-05-20","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",467.46,32.72,50.00,550.18,"USD","Fully Received","Amit Singh","","2024-04-25 11:15:00","2024-05-25 10:00:00"
9024,"PO-2024-09024",1002,"2024-05-10","2024-05-25","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 30",4202.50,756.45,100.00,5058.95,"INR","Invoiced","Sunita Rao","","2024-05-10 09:00:00","2024-06-01 14:00:00"
9025,"PO-2024-09025",1009,"2024-06-15","2024-07-10","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 60",7200.00,576.00,450.00,8226.00,"EUR","Fully Received","Amit Singh","Chemical batch #CB-002","2024-06-15 15:30:00","2024-07-18 10:00:00"
9026,"PO-2024-09026",1006,"2024-07-01","2024-07-25","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",1127.10,90.17,100.00,1317.27,"EUR","Fully Received","Sunita Rao","","2024-07-01 10:00:00","2024-07-30 11:00:00"
9027,"PO-2024-09027",1003,"2024-08-05","2024-09-01","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 45",6407.50,512.60,300.00,7220.10,"USD","Fully Received","Amit Singh","Materials for Project Gamma","2024-08-05 11:30:00","2024-09-10 09:00:00"
9028,"PO-2024-09028",1012,"2024-09-02","2024-09-22","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",167.50,13.40,30.00,210.90,"USD","Closed","Sunita Rao","","2024-09-02 16:00:00","2024-10-05 14:00:00"
9029,"PO-2024-09029",1001,"2024-10-10","2024-10-30","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 60",36560.00,6580.80,650.00,43790.80,"INR","Fully Received","Amit Singh","","2024-10-10 09:45:00","2024-11-05 10:30:00"
9030,"PO-2024-09030",1007,"2024-11-01","2024-11-15","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Due on Receipt",49717.00,8949.06,0.00,58666.06,"INR","Invoiced","Sunita Rao","Software licenses renewal","2024-11-01 13:00:00","2024-11-20 15:00:00"
9031,"PO-2024-09031",1005,"2024-11-20","2024-12-15","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 60",1260.00,100.80,80.00,1440.80,"EUR","Fully Received","Amit Singh","","2024-11-20 10:00:00","2024-12-20 11:00:00"
9032,"PO-2024-09032",1004,"2024-12-10","2025-01-05","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",1275.00,102.00,0.00,1377.00,"USD","Partially Received","Sunita Rao","Marketing Campaign Assets","2024-12-10 14:20:00","2025-01-10 16:00:00"
9033,"PO-2025-09033",1010,"2025-01-05","2025-01-30","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 45",4.62,0.37,5.00,9.99,"USD","Sent","Amit Singh","","2025-01-05 09:00:00","2025-01-05 09:00:00"
9034,"PO-2025-09034",1008,"2025-01-25","2025-02-20","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",197.00,13.79,20.00,230.79,"USD","Sent","Sunita Rao","Electronic components restock","2025-01-25 11:00:00","2025-01-25 11:00:00"
9035,"PO-2025-09035",1011,"2025-02-15","2025-03-10","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",50.84,3.56,10.00,64.40,"USD","Approved","Amit Singh","","2025-02-15 10:30:00","2025-02-16 09:00:00"
9036,"PO-2025-09036",1002,"2025-03-05","2025-03-20","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",11175.00,2011.50,120.00,13306.50,"INR","Sent","Sunita Rao","Monthly office supplies","2025-03-05 14:00:00","2025-03-05 14:00:00"
9037,"PO-2025-09037",1009,"2025-03-20","2025-04-15","50 Electronics City","Phase 1","Bengaluru","Karnataka","560100","India","Net 60",78.20,6.26,25.00,109.46,"EUR","Approved","Amit Singh","Sample chemical request","2025-03-20 09:30:00","2025-03-20 09:30:00"
9038,"PO-2025-09038",1006,"2025-04-01","2025-04-25","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 30",579.60,46.37,90.00,715.97,"EUR","Approved","Sunita Rao","","2025-04-01 10:00:00","2025-04-01 10:00:00"
9039,"PO-2025-09039",1012,"2025-04-10","2025-05-05","Plot 15, MIDC","Chakan","Pune","Maharashtra","410501","India","Net 30",850.00,68.00,75.00,993.00,"USD","Approved","Amit Singh","","2025-04-10 15:00:00","2025-04-10 15:00:00"
9040,"PO-2025-09040",1001,"2025-04-15","2025-05-10","1 Corporate Drive","Tech Park One","Pimpri-Chinchwad","Maharashtra","411019","India","Net 60",29680.00,5342.40,300.00,35322.40,"INR","Approved","Sunita Rao","New hire setups","2025-04-15 11:45:00","2025-04-16 09:00:00"
